
0.1, 1
0.2, 2
0.3, 3
0.4, 4
0.5, 5
0.6, 6
0.7, 7
0.7, 8
0.8, 9
0.9, 10
1, 11
1.1, 12
1.2, 13
1.3, 14
1.4, 15
1.5, 16
1.6, 17
1.7, 18
1.8, 19
1.9, 20
1.9, 21
2, 22
2.1, 23
2.2, 24
2.3, 25
2.4, 26
2.5, 27
2.6, 28
2.7, 29
2.8, 30
2.9, 31
3, 32
3.1, 33
3.1, 34
3.2, 35
3.3, 36
3.4, 37
3.5, 38
3.6, 39
3.7, 40
3.8, 41
3.9, 42
4, 43
4.1, 44
4.2, 45
4.3, 46
4.4, 47
4.5, 48
4.5, 49
4.6, 50
4.7, 51
4.8, 52
4.9, 53
5, 54
5.1, 55
5.2, 56
5.3, 57
5.4, 58
5.5, 59
5.6, 60
5.7, 61
5.8, 62
5.9, 63
5.9, 64
6, 65
6.1, 66
6.2, 67
6.3, 68
6.4, 69
6.5, 70
6.6, 71
6.7, 72
6.8, 73
6.9, 74
7, 75
7.1, 76
7.2, 77
7.3, 78
7.4, 79
7.4, 80
7.5, 81
7.6, 82
7.7, 83
7.8, 84
7.9, 85
8, 86
8.1, 87
8.2, 88
8.3, 89
8.4, 90
8.5, 91
8.6, 92
8.7, 93
8.8, 94
8.9, 95
8.9, 96
9, 97
9.1, 98
9.2, 99
9.3, 100
9.4, 101
9.5, 102
9.6, 103
9.7, 104
9.8, 105
9.9, 106
10, 107
10.1, 108
10.2, 109
10.3, 110
10.3, 111
10.4, 112
10.5, 113
10.6, 114
10.7, 115
10.8, 116
10.9, 117
11, 118
11.1, 119
11.2, 120
11.3, 121
11.4, 122
11.5, 123
11.5, 124
11.6, 125
11.7, 126
11.8, 127
11.9, 128
12, 129
12.1, 130
12.2, 131
12.3, 132
12.4, 133
12.5, 134
12.6, 135
12.7, 136
12.7, 137
12.8, 138
12.9, 139
13, 140
13.1, 141
13.2, 142
13.3, 143
13.4, 144
13.5, 145
13.6, 146
13.7, 147
13.8, 148
13.9, 149
13.9, 150
14, 151
14.1, 152
14.2, 153
14.3, 154
14.4, 155
14.5, 156
14.6, 157
14.7, 158
14.8, 159
14.9, 160
15, 161
15.1, 162
15.2, 163
15.2, 164
15.3, 165
15.4, 166
15.5, 167
15.6, 168
15.7, 169
15.8, 170
15.9, 171
16, 172
16.1, 173
16.2, 174
16.3, 175
16.4, 176
16.5, 177
16.6, 178
16.7, 179
16.8, 180
16.8, 181
16.9, 182
17, 183
17.1, 184
17.2, 185
17.3, 186
17.4, 187
17.5, 188
17.6, 189
17.7, 190
17.8, 191
17.9, 192
18, 193
18.1, 194
18.2, 195
18.3, 196
18.4, 197
18.5, 198
18.6, 199
18.7, 200
18.7, 201
18.8, 202
18.9, 203
19, 204
19.1, 205
19.2, 206
19.3, 207
19.4, 208
19.5, 209
19.6, 210
19.7, 211
19.8, 212
19.9, 213
20, 214
20.1, 215
20.2, 216
20.3, 217
20.4, 218
20.5, 219
20.6, 220
20.6, 221
20.7, 222
20.8, 223
20.9, 224
21, 225
21.1, 226
21.2, 227
21.3, 228
21.4, 229
21.5, 230
21.6, 231
21.7, 232
21.8, 233
21.9, 234
22, 235
22.1, 236
22.1, 237
22.2, 238
22.3, 239
22.4, 240
22.5, 241
22.6, 242
22.7, 243
22.8, 244
22.9, 245
23, 246
23.1, 247
23.2, 248
23.3, 249
23.4, 250
23.5, 251
23.6, 252
23.7, 253
23.8, 254
23.9, 255
24, 256
24.1, 257
24.2, 258
24.2, 259
24.3, 260
24.4, 261
24.5, 262
24.6, 263
24.7, 264
24.8, 265
24.9, 266
25, 267
25.1, 268
25.2, 269
25.3, 270
25.4, 271
25.5, 272
25.6, 273
25.6, 274
25.7, 275
25.8, 276
25.9, 277
26, 278
26.1, 279
26.2, 280
26.3, 281
26.4, 282
26.5, 283
26.6, 284
26.7, 285
26.8, 286
26.9, 287
27, 288
27.1, 289
27.2, 290
27.2, 291
27.3, 292
27.4, 293
27.5, 294
27.6, 295
27.7, 296
27.8, 297
27.9, 298
28, 299
28.1, 300
28.2, 301
28.3, 302
28.4, 303
28.5, 304
28.6, 305
28.6, 306
28.7, 307
28.8, 308
28.9, 309
29, 310
29.1, 311
29.2, 312
29.3, 313
29.4, 314
29.5, 315
29.6, 316
29.7, 317
29.8, 318
29.9, 319
30, 320
30, 321
30.1, 322
30.2, 323
30.3, 324
30.4, 325
30.5, 326
30.6, 327
30.7, 328
